Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,355.059998,363.309998,354.339996,359.51001,359.51001,2098800
02/03/21,359.869995,359.869995,349.970001,351.440002,351.440002,1877300
03/03/21,349.940002,351.369995,342.809998,343.059998,343.059998,1928400
04/03/21,340.670013,343.519989,330.779999,337.950012,337.950012,2497500
05/03/21,343.299988,351.839996,334.140015,349.829987,349.829987,1979700
08/03/21,354.429993,359.910004,349.220001,353.700012,353.700012,1762800
09/03/21,354.720001,357.390015,351.869995,352.690002,352.690002,1456800
10/03/21,351.220001,361.690002,351.01001,361.220001,361.220001,1401100
11/03/21,365,366.820007,360.779999,364.459991,364.459991,1675700
12/03/21,363.549988,370.76001,363.339996,369.48999,369.48999,1940800
