Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,33.639999,34.060001,33.389999,33.41,33.41,3292300
02/03/21,33.34,33.470001,32.799999,32.810001,32.810001,3247300
03/03/21,32.82,32.959999,32.27,32.900002,32.900002,4283000
04/03/21,33,33.470001,32.720001,33.220001,33.220001,5466700
05/03/21,33.459999,33.5,32.52,33.209999,33.209999,5516500
08/03/21,33.48,33.580002,33.18,33.369999,33.369999,4053800
09/03/21,33.720001,34.43,33.639999,34.18,34.18,5601100
10/03/21,34.27,34.869999,34.25,34.549999,34.549999,3756500
11/03/21,34.369999,34.759998,34.139999,34.650002,34.650002,4865500
12/03/21,34.84,35.009998,34.459999,34.93,34.93,4095100
