Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,28.16,28.450001,28.02,28.09,28.09,44107900
02/03/21,28.08,28.459999,28.08,28.219999,28.219999,35715700
03/03/21,28.18,28.93,28.18,28.719999,28.719999,57249100
04/03/21,28.77,29.32,28.65,28.92,28.92,60693700
05/03/21,29.01,29.74,28.98,29.620001,29.620001,58648600
08/03/21,29.540001,30.389999,29.42,29.99,29.99,55948700
09/03/21,29.9,30.139999,29.610001,29.639999,29.639999,47928800
10/03/21,29.940001,30.16,29.57,29.99,29.99,43776400
11/03/21,29.91,30,29.5,29.540001,29.540001,36466900
12/03/21,29.9,30.870001,29.719999,29.809999,29.809999,70069200
