Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,325,331.040009,323.309998,329.920013,329.920013,2957800
02/03/21,330,336.190002,329.51001,330.940002,330.940002,2849700
03/03/21,333.679993,340.100006,333.25,334.429993,334.429993,3604200
04/03/21,333.130005,339.76001,323.920013,329.290009,329.290009,3642900
05/03/21,335.579987,335.579987,316.459991,327.369995,327.369995,3740200
08/03/21,331.359985,337.589996,329.100006,334.190002,334.190002,2996600
09/03/21,328.619995,336.390015,325.570007,330.589996,330.589996,3265900
10/03/21,332.070007,342.399994,331.529999,342.019989,342.019989,3151000
11/03/21,338.660004,345,336.459991,342.100006,342.100006,2755800
12/03/21,345.220001,350,343.640015,348.809998,348.809998,2435500
