Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,77.010002,79.07,77,78.760002,78.760002,2364500
02/03/21,79,80.620003,78.970001,80.099998,80.099998,3195500
03/03/21,79.769997,81.82,79.529999,81,81,3770800
04/03/21,77.019997,77.57,74.980003,76,76,5894700
05/03/21,75.540001,76.669998,74.300003,76.370003,76.370003,4320200
08/03/21,75.690002,76.379997,75.279999,75.790001,75.790001,2949300
09/03/21,75.029999,76.32,73.449997,75.629997,75.629997,5009600
10/03/21,73.769997,74.260002,72.550003,72.970001,72.970001,3378200
11/03/21,74,74.190002,73.550003,74.099998,74.099998,2075800
12/03/21,73.279999,74.650002,72.910004,74.580002,74.580002,2343100
