Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,131.580002,132.570007,131.130005,131.369995,131.369995,11515100
02/03/21,131.509995,132.75,130.009995,130.110001,130.110001,9734900
03/03/21,129.5,129.929993,127.550003,127.589996,127.589996,13917900
04/03/21,127.860001,129.580002,126.279999,127.529999,127.529999,15087400
05/03/21,126.830002,129.75,126.75,129.119995,129.119995,11349800
08/03/21,129.330002,129.839996,127.809998,127.879997,127.879997,13651600
09/03/21,128.800003,129.880005,128.320007,128.889999,128.889999,10631100
10/03/21,128.860001,133.050003,128.470001,132.179993,132.179993,14959700
11/03/21,133.360001,133.490005,131.529999,132.130005,132.130005,11822600
12/03/21,132.520004,134.520004,132.080002,134.119995,134.119995,9473500
