Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,49.439999,50.439999,49.400002,49.900002,49.488091,13901200
02/03/21,49.84,50.560001,49.700001,50.099998,49.68644,11753200
03/03/21,49.720001,50.560001,49.709999,49.98,49.567429,15407000
04/03/21,50.310001,51.09,49.619999,49.939999,49.52776,21993300
05/03/21,50.049999,50.950001,49.900002,50.790001,50.370743,21305600
08/03/21,51.470001,52.490002,51.16,51.639999,51.213726,25079400
09/03/21,51.720001,51.880001,50.82,50.860001,50.440166,23067700
10/03/21,51.18,51.630001,50.720001,51.439999,51.015377,21327100
11/03/21,51.41,51.43,50.810001,50.880001,50.460003,17405900
12/03/21,50.59,50.68,50.200001,50.360001,50.360001,17592800
