Date,Open,High,Low,Close,Adj Close,Volume
01/03/21,56.470001,57.610001,56.130001,56.400002,56.400002,36973400
02/03/21,56.650002,56.959999,56.02,56.07,56.07,30281900
03/03/21,56.419998,57.959999,55.880001,56.52,56.52,35335900
04/03/21,57.119999,59.470001,57.099998,58.709999,58.709999,51928500
05/03/21,59.830002,61.049999,59.110001,60.93,60.93,51397800
08/03/21,61.580002,61.610001,59.82,60.869999,60.869999,38142300
09/03/21,60.610001,61.389999,59.470001,59.93,59.93,35605200
10/03/21,60.52,61.919998,60.029999,61.77,61.77,31551900
11/03/21,61.779999,62.549999,61.259998,61.310001,61.310001,24772800
12/03/21,61.549999,62.369999,61.5,61.970001,61.970001,20414700
